City	lat	long	counts
Anand	22.564518	72.928871	1
assiut	27.178312	31.185926	1
Bangalore	12.971599	77.594566	1
BAREILLY	28.367037	79.430435	1
Berlin	52.5170365	13.3888599	1
Brno	49.1922443	16.6113382	1
Budapest	47.4979937	19.0403594	1
Cairo	30.0443879	31.2357257	1
Chennai	13.0836939	80.270186	1
Chlef	36.20342	1.2680696	1
Coimbatore	11.0018115	76.9628425	1
Essen	51.4582235	7.0158171	1
Frankfurt	50.1106444	8.6820917	2
Gatersleben	51.8152287	11.2905076	14
Halle	51.4825041	11.9705452	1
Hannover	52.3744779	9.7385532	1
Heidelberg	49.4093582	8.694724	1
Ibadan	7.3777462	3.8972497	1
Istanbul	41.0091982	28.9662187	1
Jena	50.9281717	11.5879359	1
Kampala	0.3177137	32.5813539	1
Kiel	54.3227085	10.135555	1
Krakow	50.0619474	19.9368564	1
Leipzig	51.3406321	12.3747329	1
Luanda	-8.8272699	13.2439512	1
MALANG	-7.9771206	112.6340291	1
Novi_Sad	45.2551338	19.8451756	9
Osnabrueck	52.2719595	8.047635	1
Rome	41.8933203	12.4829321	2
Shanghai	31.2322758	121.4692071	1
Siena	43.1672254	11.4671812	1
Sukoharjo	-7.6815729	110.8676132	1
Tehran	35.6892523	51.3896004	1
V.V.Nagar	12.9856478	77.6649767	1
Würzburg	49.79245	9.932966	1
Zurich	47.3744489	8.5410422	1
